Algorithm,Parameters,Dataset,Fold,Description,Precision,Recall,F-measure,AUC,G-mean
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 2000, 'stop_probability': 0.0, 'classifier': 'KNN', 'gamma': 0.1}",pima,3,Preliminary,0.56338,0.597015,0.57971,0.674507,0.670041
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 2000, 'stop_probability': 0.0, 'classifier': 'KNN', 'gamma': 1.0}",pima,3,Preliminary,0.593496,0.544776,0.568093,0.672388,0.660167
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 2000, 'stop_probability': 0.0, 'classifier': 'KNN', 'gamma': 10.0}",pima,3,Preliminary,0.6,0.537313,0.566929,0.672657,0.6589
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 2000, 'stop_probability': 0.0, 'classifier': 'NB', 'gamma': 0.001}",pima,2,Preliminary,0.627737,0.641791,0.634686,0.718896,0.714749
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 2000, 'stop_probability': 0.0, 'classifier': 'SVM', 'gamma': 0.01}",pima,2,Preliminary,0.622222,0.626866,0.624535,0.711433,0.706389
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 2000, 'stop_probability': 0.0, 'classifier': 'NB', 'gamma': 1.0}",pima,2,Preliminary,0.65,0.58209,0.614173,0.707045,0.695916
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 2000, 'stop_probability': 0.0, 'classifier': 'SVM', 'gamma': 0.1}",pima,3,Preliminary,0.6,0.649254,0.623656,0.708627,0.706135
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 2000, 'stop_probability': 0.0, 'classifier': 'SVM', 'gamma': 1.0}",pima,3,Preliminary,0.602837,0.634328,0.618182,0.705164,0.701597
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 2000, 'stop_probability': 0.0, 'classifier': 'NB', 'gamma': 0.1}",pima,3,Preliminary,0.62069,0.671642,0.645161,0.725821,0.723796
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 2000, 'stop_probability': 0.0, 'classifier': 'SVM', 'gamma': 10.0}",pima,3,Preliminary,0.644068,0.567164,0.603175,0.699582,0.686936
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 2000, 'stop_probability': 0.0, 'classifier': 'KNN', 'gamma': 10.0}",pima,4,Preliminary,0.7,0.626866,0.661417,0.741433,0.732528
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'NB', 'gamma': 1.0}",pima,4,Preliminary,0.644444,0.649254,0.64684,0.728627,0.724291
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 2000, 'stop_probability': 0.0, 'classifier': 'CART', 'gamma': 1.0}",pima,3,Preliminary,0.585714,0.61194,0.59854,0.68997,0.685544
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 2000, 'stop_probability': 0.0, 'classifier': 'CART', 'gamma': 10.0}",pima,3,Preliminary,0.580153,0.567164,0.573585,0.673582,0.665123
